영화제목,아이디,평점,댓글
미옥,ruyl****,10,너무 재밌게 봤네요. 스토리 따질거면 이런 느와르영화 보지말고 애니메이션이나 보세요ㅋㅋ 뭔 느와르영황에서 스토리를 따져.. 뭐 감동적인 깡패얘기 보고 싶었나본데 그럴거면 멜로영화나 보세요
랑종,dbst****,10,너무 무서워서 지렸어요 하지만 또 볼거예요 랑종최고
모가디슈,andy****,10,간만에 좋은 영화 나왔네요.... 스토리 좋고.. 주조연 할거없이 연기 다 좋고.. 실화라서 더 좋은영화... 코로나지만 마스크 단단히 하고 에어콘 빵빵한 극장에서 한편 보기 딱좋은 영화...
랑종,ji00****,10,너무재밌게봤어요^^ 추천합니다
랑종,fbal****,10,아니 요즘 계절에 이거 안보면… 안됨!!!올 여름 미친 영화
모가디슈,abba****,10,
방법: 재차의,love****,1,평점에 낚엿네..ㅜ kt vip 무료관람으로 봤는데 포인트도날리고 ㅜ 중간부터 오글거려서 못보겠음진짜 영화 만드신분들한테는 죄송한데 완성도도너무떨어지고  중간에 예산이  부족했나요? 갑자기 서둘러서 대충 마무리하려는 느낌이 너무 듭니다
리틀 포레스트,lkt1****,10,편안함의영화..이런영화처음봤고 여러번보게되고 음악중 걷는마음은 편안히자고싶을때 반복으로틀게됨...진짜 명작
애비규환,youj****,10,진짜 소소한 즐거움과 여러가족들의 형태가 있다는걸 알려주는 영화안되면 말지 모 인생은 길다!
랑종,yu06****,10,저 거짓말 안하고 하기스 매직팬티 차고 봤습니다 어마무시하게 무섭고 스릴러중에 스릴러!!
랑종,haej****,10,최고에요 엄청 무섭고 재밌음!!
캡틴 필립스,iam_****,10,소말리아 해적단에 한국 화물선도 납치됐었는데 캡틴필립스 같을 거 같아서 짠하다한국은 왜 영화 안 만들었지...청해부대 위대함을 보여줘야하는데 백신도 안주고 찬밥신세로 대하다니....
모가디슈,dldm****,10,코시국에 개봉하여 안타깝네요 ㅠㅠ 정말 좋은 영화였고 감명깊게 봤습니가!
랑종,rkdi****,10,무섭지만 너무 재밌어서 끝까지 지켜보다 나왔어요 최고입니다 꼭 보세요 안보는 사람 없어야해요ㅠㅠ
모가디슈,cksa****,10,
모가디슈,cjsw****,10,몰입도 좋고 인류애를 느끼게 해준 영화..? 재밌게 잘봤어요
모가디슈,rlfd****,10,
랑종,tjsw****,10,시원하게 무섭게 봤어요~^^
증인,rew1****,10,장애를 편견으로 보는 비장애인에게 던지는 메세지
모가디슈,jamj****,6,그냥 저냥 시간 때우기용
방황하는 칼날,kooo****,8,죄에 애고 어른이고가 어디있나.. x 같은 세상.
모가디슈,po3o****,10,오늘 개봉해서 보고 왔는데 배우님들 연기 너무 잘하시고 마지막에 찐으로 눈물 났어요 ㅠ. ㅠ
모가디슈,viry****,9,믿고 보는 감독..그러나 방탄차가 아님에도 무적임... 어떤 총알도 뚫을 수 없는 자동차... 책은 총알보다 강하다
방법: 재차의,hate****,8,소진이가 중국을 갔다 오더니 무술인이 다 되었네요.잘 봤어요.단지 뻔한 스토리가 아숩네요
귀향,whwn****,4,메시지가 좋다고해서 영화적 완성도가 높으리란법은 없으며 이 영화가 그렇다.
모가디슈,lbhx****,10,개잼... 이번 년도에 내 취향 별 5개없었는데 첫 5별점ㅋㅋㅋㅋ엄마가 조인성 좋아해서 끌려가듯이 보러가고 줄거리도 안찾아본거였는데 완전 취향저격.. 갠적으로 구교환 다시봤다 다들 연기도 너무잘하고 남자친구랑 한번더보고싶음
크루엘라,yjtw****,10,상상하기만 했던 과감하고 화려한 드레스들의 연출이 너무나도 마음에 들고 감동적이었다
시크릿 슈퍼스타,jimi****,10,"넷플릭스에서 상영 당시 어머니와 보았다가 울었다. 어머니께 지금이 2000년대가 맞는지 의심된다고 하니, 어머니께서는 너희 증조할머니께선 딸이라고 초등학교도 중퇴하셨고, 그 한으로 너희 할머니를 세상의 편견에 맞서 중학교까진 보내셨고, 당신 또한 자식 많은 가부장적인 집의 장녀로 태어나 공부를 잘하셨으나 고등학교까지만 나올 수밖에 없었기에, 너를 원하는 만큼 교육시키고 꿈을 성취하게 하고 싶었다 하셨다. 우리가 지금 서있는 이 인권이라는 발판이, 수많은 어머니들과 여성들의 투쟁으로 이루어진 성취임을 언제나 기억하고 감사하며 노력하겠다."
모가디슈,akss****,4,모가디슈 모가 잼있슈?
모가디슈,ssrs****,10,생각했던것보다 훨씬 더 재미있었어요
모가디슈,alia****,1,또 하나의 주차권...
쇼생크 탈출,jopo****,10,
쿵푸 허슬,acti****,10,주성치 최고 !! 보고 또 봐도 좋아요
블랙 위도우,happ****,3,기대보다 별로였다
모가디슈,njy1****,10,기대안하고 봤는데 재밌고 감동적임눈물 한방울 또르르
모가디슈,cine****,9,박진감 넘치는 전투 연출. 류승완 감독의 액션은 경지에 올랐다! 배우들 연기들 죄다 명품!!
"나는 내일, 어제의 너와 만난다",hgh0****,9,시작할때의 기차와 끝날때의 기차의 모습이 시작을 의미하는지 끝을 의미하는지 모르겠다. 하지만 상관없다. 전부 이어져있으니까.
방법: 재차의,hjw5****,2,이거보고 재밌는애들은 똥오줌 소리만 나와도 웃는 어린애들이거나 알바다
검사외전,cero****,10,
랑종,daew****,10,좋앗엇어요 생각보다 무섭긴 진짜무서운데 해석은 블로그같은거보니까 내용은 잘만든거같은데 왜케 평이 안좋은지 모르겟네요~
모가디슈,kimk****,10,"현실이라하니 재밌었고, 현실이라하니 씁쓸했다."
모가디슈,ppig****,10,재밌어요....또 보고싶음
모가디슈,qorr****,8,기대 많이 하면 실망할 수 있어요. 재밌긴 한데 발암 요소가 많고 스토리가 급 전개되는 장면들이 좀 있어서 조금 그랬습니다. 하지만 영화관에서 보기엔 충분히 재밌고 북한이 절대 선이고 미국이 절대 악 이런거 전혀 없습니다.
방법: 재차의,cioc****,10,2시간이 금방 갔네요. 재미있었어요. 방법 드라마 먼자 안보셔도 되는데 보고가면 더 재밌어요.그리고 퀄리티따지지마시길. 어벤져스 영화도 CG는 개판이었습니다.
모가디슈,smil****,10,정말로 오랜만에 좋은 한국영화 한편봤습니다.배우님들 연기너무좋았구요.가슴찡한 엔등도 좋았습니다
모가디슈,5juy****,10,"이게 과연 실화인가 아이들의 놀란 눈에 나도 놀라며...잘 만든 시나리오, 연출과 연기, 음향효과, 로케이션 모두 조화롭다."
랑종,hang****,1,카메라를 통해 다큐멘터리라는 이름으로 보여지는 약자들에 대한 폭력의 전시. 배우들 연기는 굿
곡성(哭聲),ehtk****,2,어느정도 현실적인 부분도 가미해야하는데 너무 픽션적인 흐름이 감상에 불쾌하게 한다
모가디슈,ckdw****,10,"정말 오랜만에 괜찮은 한국영화를 본 것 같다.남과 북이란 감동을 불러일으키기 뻔한 소재로 감동적이여서 좀 놀랐다. 그것 외에는 외교나 인권에 대해 한번 생각해보고,   아프리카 환경을 구경하는 재미가 좋았다."
속닥속닥,yeje****,1,뭐가 좋아.? 연기력은 완전 별로고 스토리도 없고… 충분히 재미있게 다룰 수 있는 소재였던 거 같은데 살린 게 아무것도 없어 감동 포인트도 없고.. 이걸 돈주고 영화관에서 보고 온 사람들이 더 대단할 정도…. 공포영화 결말이 원래 허무하다고 하지만 진짜 이건 아니지;; 이게 뭐야
방법: 재차의,spec****,10,블랙 위도우 보다 잼나네~
런 보이 런,gyu9****,10,좋좋소 보고 왔습니다.
"그날, 바다",gira****,10,고의적인  배침몰로 결론 났다고 생각하는데 저만그런가봐요같이본 3명은  그래도  우연한사고로 배가침몰됫다고하네요 ㅜㅜ 혼자 OO됨
방법: 재차의,koyo****,10,이런영화는 계속 이어져야한다 제발!!!다음편도 기대할께요!!
모가디슈,siny****,10,영화 진짜 잘찍었어요! 재밌고 감동적이고 스릴넘치고 좋았어용 !!! ㅋㅋㅋ 딱 그당시 서울말투 쓰시고 안경에 고증도 좋얐습니당
모가디슈,alic****,10,너무 재밌었습니다! 간만에 시원한 추격씬을 본 것 같습니다!
모가디슈,eomj****,9,정치든 이념이로 으르렁대다가  다 싹다 망하니 다 무시하고 생존을 목표로 하는 영화
아이스 로드,shin****,10,"보는 내내 쫄깃해진 심장을 부여잡고 봤습니다.소박한 리암 니슨의 모습 속에 강인한 모습 역시, 최고의 배우네요.다른 배역들도 하나같이 잘 소화해냈고, 재밌었어요. 평점이 너무 낮게 형성된 게 아쉬워서 일하다가 글남겨요."
모술,2ne9****,10,간만에 시간가는줄 모르고 봤다. 소규모 도시전을 사실적으로 아주 잘 보여줬고 마지막에는 이런저런 생각을 하게하는 훌륭한 영화다
블랙 위도우,qkrt****,10,"너무 늦었지만, 제대로 온 왔다."
방법: 재차의,niec****,10,드라마 안보고 가서 살짝 걱정했는데 안봐도 이해 다 되어서 우선 다행. 생각보다 더 쫄깃했음
오필리아,qkrt****,8,시대에 맞는 햄릿에 해석.
모가디슈,roge****,6,평점 귀찮아서 잘 안남기는데.. 휴가차 부산왔다가 기장 롯데시네마에서 방금 보고 나옴아~ 내시간 내돈~ 크루엘라 봤어야되었다~류승완안 베테랑 개대박이후 군함도 부턴 계속 미끄럼틀 타고 내리막으로 치닫는 느낌이고.. 김윤석 허준호 두 연기대가와 충무로 최고 블루칩 중 하나인 김소진이 합류해도 .. 스토리가 .. 4년전 탄핵시국에라면 그럭저럭 먹힐 북한 끌여당긴 휴머니즘 신파 쪼금 믹스했는데.. 손발 오글오글... 더이상 설명 생략~
방법: 재차의,iamo****,10,
랑종,wlst****,10,처음에 페이크 다큐멘터리처럼 가다가 점점몰아가는 부분이 제일 인상깊었습니다.이런 내용을 쓰신 작가 분이나 감독 영화가 나오면 꼭 다시 볼 생각입니다!!
방법: 재차의,gaeu****,10,드라마때부터 팬이예요! 영화도 만족스러웠음
특종: 량첸살인기,love****,4,내용이 긴장감있고 괜찮았는데 결말의 아쉬움이..
남자가 사랑할 때,vov1****,10,재밌고 슬프고 눈물펑펑 연기력에 빠져든다
랑종,sang****,10,좋아요 너무너무조아요
모가디슈,chla****,10,너무 감동적이였습니다 ㅠㅠ배우님들 연기도 다 잘하시고 낼 또 보러 갈거에요!
남자가 사랑할 때,baru****,10,황정민  천의 얼굴  무슨 연기를 이렇게 잘하냐. 소름 돋아. 한혜진 연기에 맞는 얼굴. 얼굴에  맞는 연긴가? 우정출연 변태  깨알웃김
랑종,gpdm****,10,너무 재밋어요!!다시 보고싶은 영화입니다
제8일의 밤,dma9****,8,"중간까지는 괜찮았는데 그냥 영화적으로만 볼때도 문제없고, 다만 결말이 그게 뭔가  차라리 누구하나에 집중을 했어야.., 시나리오를 쓰다말은듯"
모가디슈,choj****,4,"작중 이런 대사가 나오더군요. 왼손만 쓰면 사람들이 좌익인 줄 알아서 자기는 양손잡이라고. 아니요, 아무리봐도 영화는 왼쪽 성향이 짙어보이는데요..?"
랑종,faer****,6,"초반반에서 중반 도입까지는 명작임 후반 고어틱한 연출에 여친이랑 눈가리며 본 영화 , 샤머니즘 토속신앙 같은거 관심있으면 좋아할만한 작품인것같습니다."
폭풍의 언덕,isfr****,2,카메라가 정신산만해서 멀미 남. 지루하게 엄청 재미 없어요
방법: 재차의,navy****,1,"중간에 맥락없게도 미국이 모든 악의 배후로 등장할 때는 영화 '괴물'식의 근본없는 반미영화 정도로만 생각했는데, 중국이 맑은 물이 흐르고 숲이 우거진 신비하고 선한 스승의 나라로 등장하는걸 보고 영화 제작의 모든 의도가 시원하게 파악되더라. 하필 이시기에 제약회사가 어쩌고 저째? 화학무기가 어쩌고 저째? ㅋㅋㅋㅋ"
정글 크루즈,mkdl****,10,시사회로 봤었는데 극장에서 보기 딱입니다~~
모가디슈,rlar****,10,여름에 보니까 진짜 시원해지는 것 같고 꿀잼이었습니다! 어떻게 찍었는지 진짜 긴장감 넘쳐서 너무 재밌게 봤어요! 올해 본 영화 중에 제일 존잼탱구리
랑종,aodd****,10,전 재밌게 봤네요!! 시간순삭!!
1917,khe5****,10,기대하지 않았는데 전쟁의 참상에 너무 슬프고~영화내용에 너무 감정이입해서 봤네요~눈물도 살짝나고~슬프고 아련합니다.잠시 1차대전때로  다녀온듯
랑종,ehru****,10,최고에요
방법: 재차의,sumi****,7,무지성 좀비의 시대는 끝났다. K-좀비의 카체이싱이라니 가슴이 웅장해진다.
포드 V 페라리,winn****,9,영화에서라면 켄 마일스를 1등으로 만들거나 그가 사고로 죽지 않고 행복하게 살았다는 허구적 설정으로 보상할수도 있었을 것이다. 그러나 그렇게 하지 않음으로써 영화의 메세지는 부각되었고 여운은 진해졌다.
파이프라인,cjh3****,2,이제끝물이구나 이 감독도
다만 악에서 구하소서,ewan****,1,
방법: 재차의,mint****,1,진짜 후기 안쓰는데 여기 다 알바네... 역대급 개노잼 내 돈 내 시간 돌려주세요. 뭐 이렇게 만들었냐... 랑종이 만배 재밌네
타이타닉 2,sigm****,1,정말..뭐라 할 말이 없네요
모가디슈,co23****,10,저 태어나서 평점을 처음 써봅니다..정말 최고의 영화예요 !! 꼭 보세요 강추강추 ㅠㅠ스포 하면 안되서 짧게^_^
남자가 사랑할 때,avon****,10,영화 클래식 다음으로 많이 울었던 영화...
모가디슈,suen****,10,배우들 연기 정말.. 크으.. b
모가디슈,ddd0****,8,이게 영화지 ?재미와 정보 다 잡은 수작 덤으로  그 시대적 상황 묘사에 몰입감이 최고?다 잘했다요 짝짝짝
모가디슈,gunm****,10,
모가디슈,cher****,10,시간가는줄 모르게 봤네요! 대박입니다. 이런 시국에 개봉해 주셔서 감사합니다. 힐링했습니다.
콰이어트 플레이스 2,wkda****,1,1편이랑 다를게 전혀 없음 1편이랑 거의 똑같다고 보면됨
모가디슈,shma****,10,김윤석+조인성=말 다했지 뭐야~!!추천추천!!!
모가디슈,pump****,10,극성수기에 어울리는 스케일의 영화!
모가디슈,wlwh****,10,올해 정말 가장 볼만해요
로건,winn****,10,X맨이 아닌 로건을 만난 영화
빛나는 순간,yong****,8,이녁 ... 소랑햄수다
극장판 귀멸의 칼날: 무한열차편,eunh****,10,"40평생 태어나서 10번 이상 반복으로 본 영상물은 무한열차를 제외하고는 없었다. 가족과 친구나 연인 누구와 언제봐도 다시 보게끔 만드는 작품~! 후속편인 유곽편 정말 기대된다. 또한 무한성 아카자 VS 기유,탄지로 전투 또한 기대된다. 마지막 30분은 안구건조증이 심한 사람에게는 여러번 보시길 눈물샘 터지네요..."
