영화제목,아이디,평점,댓글
모가디슈,dsad****,1,
방법: 재차의,miq1****,2,ㅠㅠ진짜재미없어서 속상함..돈아까워ㅠㅠㅠㅠ치킨먹을걸
모가디슈,lce3****,10,역시 조인성은 조인성이다
블루 라군 2,soni****,8,나이들수록 이런 순수한 사랑이 아름다워 보인다. 현실은 햇볕에 타서 일찍 늙어버린 원주민의 모습이겠지만
분노의 질주: 더 얼티메이트,yuns****,3,.... 무슨 슈퍼솔저 마블처럼 히어로 영화인줄어쩌다 분노의 질주가 이렇게 변한거지 ㅋㅋㅋ
나만 보이니,vict****,6,영화라기 보단 20년전 논스톱 시트콤 느낌으로 보면 볼만함
파운더,khk2****,10,햄버거는 역시 버거킹이지!
모가디슈,love****,10,진심 꿀잼  다들 연기 너무잘함
미션 파서블,idci****,1,짱개영화임?첨부터 오바이트나올것같은 짱깨말들이 음소거 해놓고 자막만읽음어떻게 설정이 짱개이지?와 대단하다  결국 끝까지봐버렸다.결론은  친중파 영화이다.십원짜리너! 너!들이만든별 반개도아깝다.
은혼 더 파이널,kiu1****,10,눈물이난다. ㅠㅠㅠㅠ
모가디슈,aaa1****,10,모가디슈 보러 극장가슈
방법: 재차의,gusw****,10,기대 안하고 봤는데 생각보다 재밌었어요
랑종,back****,2,"이거 보고난 후 든 생각이... B급이라 금방 넷플릭스나 왓챠에 뜨니까 안 보신 분들은 그냥 존버하면서 기다리세요. 1.킬링타임용으론 괜찮은 듯. 2.무섭기보단, 기괴함.3.마케팅의 중요성을 알게된 영화"
랑종,kimk****,1,LG전자가 2021년에 혁신이라며 베가X를 발표하는걸 라이브로 보는 느낌
모가디슈,dnjs****,10,이거 대박…국뽕 차오름..
정글 크루즈,wr2d****,10,지루할 틈 없이 빠져드는 흥미로운 스토리
정글 크루즈,tetq****,10,기대 크게 안 하고 갔는데 넘나ㅋㅋㅋ 기대이상
노트북,miny****,9,아련하고 여운이 남는 동화 한편
모가디슈,onem****,10,
모가디슈,dlck****,10,여자친구랑 같이 펑펑울었어요..현시대에 남북관계 개선에 조금이나마도움이 되기를..
인생은 아름다워,lee0****,10,슬픈 명작입니다. ㅠㅠ
방법: 재차의,8711****,10,이거때문에 드라마보러갑니다개꿀잼인데? 미쳤네쿠키영상 꼭 보세요~~~
아일라,ahnd****,9,가족과 함께 보며 많은 생각이 드는 영화였습니다. 할아버지 생각이 나네요.. 한번 꼭 보시는 걸 추천드립니다.
모가디슈,dhwj****,10,1991년 소말리아 수도 모가디슈에서 있었던 반군을 피해서 탈출하는 연출이 좋앗구김윤석배우 허준호배우 조인성배우 구교환배우및 조연배우분들 단역배우들 까지해서 다 자기 맞는 옷을입은듯 연기가 좋앗구이 모가디슈 백미라면 한국최초의 아프리카 올로케이션이 좋앗던것같아요 비주얼이 최고엿구Ost 도 딱 긴장감맞게 배치돼서 좋앗어요영화 잘봣습니다
모가디슈,garo****,2,남성혐오가 당연하다는 페미니스트 배우 정만식님 화이팅!!!
모가디슈,whee****,10,
모가디슈,leew****,10,믿고보는 김윤석 10자이상무엇
모가디슈,ccac****,10,
모가디슈,ukin****,10,긴장감 몰입도 최고! 처음부터 끝까지 힘주고 보느라 목어깨가 뻣뻣해졌어요.ㅠ 눈뗄 수 없는 액션에 묵직한 울림까지 주는 모자람 없는 영화였어요.
레미제라블,djtj****,10,삶의 본질에 대해 생각해보게 하는 영화. 참회와 용서와 사랑에 대한 영화. 영원한 구원을 말하는 영화..
갱스 오브 뉴욕,poon****,9,깡패영화인가 대 서사시인가
아나콘다,soqu****,6,괴수영화의 정석
레이니 데이 인 뉴욕,wspa****,6,
모가디슈,a010****,10,
모가디슈,nann****,10,신파없이 너무 재밌겠봤음 시기가 아쉬운데 가족들끼리봐도 너무좋을영화임ㅠㅠ평점을 낮게줄이유가없음. 특히 허준호님 포스미쳤다진짜ㅠㅠㅠㅠ북한나와서 보기싫었는데 막상보니깐미화도없어서 딱좋다고느꼈음 결말도진짜 딱깔끔
블랙 위도우,325t****,10,와 마블 영화 안보는 사람인데 사람들이 왜 마블 마블 하면서 영화 보는지 알 것 같음...
정글 크루즈,robo****,10,역시 기대이상 믿고 보는 디즈니가 선사하는 올 여름을 시원하게 날려버릴 어드벤처 영화!
랑종,byun****,5,... 와 진짜 돈 아깝다
뱅퀴시,meta****,1,모건프리먼 나오는 영화중 실망작...왜 나오신겁니까? 제작비 절약하려는 노력이 영화에 뚜렸하게 느껴짐..보면 좀 지루안봐도 무방?
꽃다발 같은 사랑을 했다,kia_****,9,어려서부터 오래 사귀면 겪을 수 밖에 없는 현실적인 이야기
모가디슈,miii****,10,말이 필요 없는 영화! 평점이 증명해주는 영화! 연출 연기 스토리 영상미 뭐 하나 빠지는 것 없이 완벽했던 영화라 두 번 봐도 재밌을 것 같아요!!! 재미와 감동까지 최고에요
정글 크루즈,byun****,8,굿 재미있었고 추천드려요
모가디슈,whdt****,10,기대별로 안하고 봤는대 기대이상으로 긴장감 넘치고 몰입감있게 잘봤습니다 배우들 연기 잘하네요 역시 믿고보는 김윤식 조인성 허준호
도굴,ycle****,2,대사와 효과음 배경음이 레벨링이 서로 달라서 힘듬 ㅠㅠ
모가디슈,0597****,9,이번에 만식이 발언때문에 별반개뺌
모가디슈,godw****,10,코로나만 아니였으면 천만관객이 될 영화처음부터 끝까지 지루할틈없이 재밌음다들 연기를 찰지게 잘함ㅋㅋㅋ
모가디슈,jand****,10,대박.... 잼나요.근데 언제 촬영한건가요
438일,zero****,10,기레기들은 정말 이영화를 싫어하네요.
모가디슈,scb0****,10,잼나요 감동 드라마  강추
로건,smar****,10,엑스맨 작품 중 단연 최고
방법: 재차의,i274****,8,드라마  방법  보다는  어두운  오컬트적  묘미는  많이  떨어짐 .
청설,hgh0****,8,영화를 다 보고 수영장장면을 다시 봤다. 수화가 많이 들어있어서 오히려 더 새롭고 재밌게 볼 수 있었다. 들리지 않더라도 사랑을 하고 하고싶은 일을 할 수 있다. ‘그게 듣는거랑 무슨 상관이야’라는 말을 항상 가지고 살아야하겠다는 생각을 했다.
모가디슈,tyfl****,10,존잼 ~~대박 다들 꼭 보시길
이도공간,pon0****,8,장국영의 마지막은 어땠을까
모가디슈,insa****,9,
모가디슈,wooj****,6,단순한데 나쁘지 않아요. 연기는 다들 잘해요. 극장에서 보는 거 추천해요
모가디슈,kji6****,10,올해 첫 영화관기대이상으로 재밌었음배우들 연기력 미침
제8일의 밤,hooj****,2,초장부터 c급냄시 나드만..  에휴...검은 사제들 흥행해서 우후죽순 아리까리한것들이 많이나오는듯.. 검은사제들 말고는 하나같이 그닥임..
폴 프롬 그레이스,ejli****,1,"앞단부터 너무 뻔히 예측 가능한 반전이라, 반전이라고 말하기도 부끄러울 정도임. 부끄러운 반전이 감상 포인트 ㅋ"
모가디슈,ddun****,10,
크루엘라,hoow****,10,와..내인생 영화다..!!!
새해전야,5630****,10,영상미 잼잼 ㅠ 여행가고싶다부담없이 보기 좋음!
모가디슈,yund****,10,
모가디슈,infi****,10,류승완이 정신 차렸구나ㅜ 망할 코로롱만 없었어도 천만작인데ㅠㅜ배우분들 연기가 너무 미쳤어...
